Age,Income,Employment_Status,Loan_Amount,Existing_Debt,Credit_History,Number_of_Loans,Payment_History,Credit_Score_Value,Creditworthy
38,63158,Employed,23306,13234,Good,1,Delayed,755,1
67,48019,Employed,7997,4222,Good,6,On-Time,416,1
56,43639,Employed,20376,5406,Fair,1,Delayed,815,1
67,110530,Employed,43880,30596,Fair,3,On-Time,597,1
42,124911,Unemployed,41055,14199,Fair,2,On-Time,584,1
54,46563,Employed,13578,21938,Good,5,On-Time,328,0
67,64341,Self-Employed,21624,34076,Good,6,On-Time,776,1
28,30776,Unemployed,42194,32747,Good,2,Defaulted,592,0
60,61444,Self-Employed,3389,28438,Good,5,Delayed,327,0
64,93916,Employed,36767,18100,Poor,5,On-Time,527,1
39,33711,Self-Employed,4855,20935,Fair,5,On-Time,442,0
62,99318,Unemployed,43893,19081,Good,2,Defaulted,352,0
61,107970,Employed,16794,14691,Fair,6,On-Time,832,1
57,137301,Employed,38531,19690,Good,4,Delayed,523,1
26,110553,Employed,7986,27886,Poor,2,Defaulted,837,0
46,55707,Employed,35298,32221,Good,5,Delayed,836,1
54,64110,Employed,4481,14204,Good,6,On-Time,762,1
65,86788,Employed,6731,2623,Good,3,On-Time,658,1
26,107879,Employed,19835,25674,Fair,1,On-Time,757,1
57,63827,Employed,30798,15086,Fair,5,Delayed,764,0
53,132188,Employed,29113,32476,Good,3,On-Time,455,1
42,30655,Employed,22477,25916,Good,4,On-Time,706,1
41,69859,Employed,20266,2314,Good,5,On-Time,344,1
26,78625,Employed,23792,13501,Good,3,On-Time,825,1
26,77098,Employed,23452,17008,Poor,5,Delayed,644,0
24,40251,Self-Employed,44334,20130,Good,2,On-Time,657,1
50,25526,Employed,14889,13880,Good,6,On-Time,414,0
31,93760,Employed,27335,12817,Fair,3,On-Time,465,1
50,72837,Self-Employed,14254,32480,Good,6,Defaulted,550,0
51,36536,Employed,24074,24299,Fair,2,On-Time,814,1
44,53541,Employed,14442,29666,Fair,2,Delayed,357,0
29,104083,Self-Employed,40327,19980,Good,6,Defaulted,744,0
23,76027,Self-Employed,19199,2109,Poor,3,On-Time,756,1
51,59531,Employed,10291,1217,Fair,6,On-Time,687,1
60,33712,Employed,43928,20445,Good,6,Defaulted,664,0
57,129101,Unemployed,3112,26092,Good,1,On-Time,479,1
56,90455,Employed,24515,28641,Good,3,On-Time,463,1
44,99744,Employed,22581,30509,Fair,1,On-Time,664,1
51,30109,Self-Employed,29500,7282,Fair,5,On-Time,588,0
26,74268,Employed,35026,27036,Fair,6,Delayed,587,0
22,125737,Employed,19523,34316,Poor,5,Delayed,488,0
40,79615,Employed,4424,26433,Fair,3,Delayed,352,0
48,107503,Self-Employed,22552,12118,Fair,6,On-Time,696,1
31,54759,Employed,13808,8807,Good,5,On-Time,533,1
24,110708,Employed,41811,27171,Good,4,On-Time,759,1
35,85112,Employed,9989,10838,Good,2,On-Time,811,1
26,127471,Employed,26620,7048,Fair,6,Delayed,712,1
50,51589,Employed,42029,21664,Good,2,On-Time,808,1
58,55015,Self-Employed,3887,28026,Good,1,Delayed,348,0
22,54009,Employed,34802,31722,Good,5,On-Time,358,0
35,108309,Employed,22488,20676,Good,1,On-Time,492,1
31,87046,Self-Employed,33013,3441,Fair,6,On-Time,336,1
28,131661,Employed,19402,6195,Good,2,On-Time,375,1
46,51143,Unemployed,24205,26053,Fair,2,On-Time,545,0
65,31154,Employed,29049,25859,Good,5,Delayed,386,0
64,46804,Employed,15253,25316,Fair,6,Delayed,516,0
25,66688,Employed,21990,8878,Good,4,Delayed,342,0
26,89288,Self-Employed,10846,2381,Good,4,Defaulted,556,0
46,76195,Employed,28027,14175,Fair,5,On-Time,457,1
24,45581,Employed,42200,5086,Good,6,On-Time,792,1
39,77648,Employed,6765,25506,Good,5,On-Time,548,1
40,55087,Employed,18950,23331,Good,6,Delayed,636,0
53,74930,Employed,12741,16959,Good,1,On-Time,520,1
40,57981,Unemployed,25742,32943,Good,5,Delayed,577,0
32,94298,Employed,27703,31095,Good,6,On-Time,799,1
67,71167,Self-Employed,41709,6377,Fair,4,Defaulted,497,0
21,100304,Employed,40623,5422,Fair,6,Defaulted,442,0
46,68408,Employed,25931,5186,Good,6,On-Time,661,1
34,64499,Employed,26580,33266,Poor,5,On-Time,490,0
58,77269,Employed,18166,14907,Good,1,On-Time,378,1
57,63559,Self-Employed,32240,32506,Fair,1,On-Time,784,1
31,139126,Unemployed,28991,31922,Fair,1,On-Time,579,0
56,99319,Employed,41556,12705,Fair,1,Delayed,692,1
33,136925,Employed,35969,21554,Good,3,On-Time,414,1
63,120317,Employed,13561,24027,Good,5,On-Time,444,1
23,121347,Unemployed,19901,18943,Good,2,Delayed,360,0
53,73787,Employed,43505,17024,Good,5,On-Time,573,1
26,60488,Employed,33020,28702,Good,3,On-Time,326,0
30,99441,Self-Employed,28917,516,Good,1,On-Time,790,1
25,99663,Employed,4988,17348,Good,3,Delayed,830,1
43,47431,Employed,17256,21355,Good,4,On-Time,388,0
30,86681,Employed,25192,18711,Fair,4,Delayed,400,0
64,88483,Self-Employed,31230,25595,Poor,5,On-Time,581,1
22,74153,Employed,42930,3343,Poor,5,On-Time,408,0
